,Name,Price,Storage,RAM Memory,Screen size,Screen Resolution,Processor Model,Processor Number,Processor manufacturer,Operating System,Battery Run Time,Optical Drive,Touchscreen,Warranty
158,New Apple MacBook Pro Core i5 8GB 256GB 13 Inch Laptop With Touch Bar - Silver - MPXX2B/A,1399.97,256.0,8.0,13.0,2560 x 1600,Intel Core i5,,Intel,MacOS,10.0,No optical drive,Touchscreen,1 year warranty
159,Refurbished HP Stream x360 11-aa051sa Intel Celeron N3060 2GB 32GB 11.6 Inch Windows 10 Touchscreen Convertible Laptop in Blue - A1/Y5V26EA,174.97,32.0,2.0,11.6,1366 x 768,Intel Celeron,N3060,Intel,Windows 10,11.0,No optical drive,Touchscreen,3 Month RTB Warranty
160,Medion S3409 Core i7-7500U 8GB 256GB SSD 13.3 Inch Windows 10 Laptop - 30022548,579.97,256.0,8.0,13.3,1920 x 1080,Intel Core i5,7500U,Intel,Windows 10,6.0,No optical drive,Non Touch,1 year warranty
161,Refurbished Acer R13 MediaTek M8173C 4GB 64GB 13.3 Inch Touchscreen Convertible Chrome OS Chromebook - A1/NX.GL4EK.003,299.97,64.0,4.0,13.3,1920 x 1080,Mediatek,M8173C,Mediatek,Chrome OS,12.0,No optical drive,Touchscreen,3 Month RTB Warranty
162,Acer Aspire Intel Pentium N4200 4GB 64GB 14 Inch Windows 10 Laptop - NX.SHXEK.006,169.97,64.0,4.0,14.0,1366 x 768,Intel Pentium,N4200,Intel,Windows 10,9.0,No optical drive,Non Touch,1 year warranty
163,Refurbished HP 14-bp059sa Intel Celeron N3060 4GB 64GB 14 Inch Windows 10 Laptop in Jet Black - A1/2KG78EA,179.97,64.0,4.0,14.0,1366 x 768,Intel Celeron,N3060,Intel,Windows 10,11.0,No optical drive,Non Touch,3 Month RTB Warranty
164,Refurbished Acer Aspire A315 AMD A9-9420 8GB 1TB 15.6 Inch Windows 10 Laptop - A2/NX.GNVEK.012,279.97,1000.0,8.0,15.6,1366 x 768,AMD A4,9120,AMD,Windows 10,5.0,No optical drive,Non Touch,3 Month RTB Warranty
165,Refurbished Acer Aspire A315 AMD A4 9120 4GB 1TB 15.6 Inch Windows 10 Laptop  - A1/NX.GNVEK.015,239.97,1000.0,4.0,15.6,1920 x 1080,AMD A4,9120,AMD,Windows 10,5.0,No optical drive,Non Touch,3 Month RTB Warranty
166,MSI GL63 8RC Core i5-8300H 8GB 1TB + 128GB SSD GeForce GTX 1050 15.6 Inch Windows 10 Gaming Laptop  - 9S7-16P612-070,749.97,1000.0,8.0,15.6,1920 x 1080,Intel Core i5,8300H,Intel,Windows 10,,No optical drive,Non Touch,2 year warranty
167,Refurbished HP Chromebook 14-ca000na Intel Celeron N3350 4GB 32GB 14 Inch Chrome OS Laptop  - A1/4CL86EA,229.97,32.0,4.0,14.0,,Intel Celeron,N3350,Intel,Windows 10,,No optical drive,Non Touch,3 Month RTB Warranty
168,Medion S3409 Core i7-7500U 8GB 256GB SSD 13.3 Inch Windows 10 Laptop - 30022548,579.97,256.0,8.0,13.3,1920 x 1080,Intel Core i5,7500U,Intel,Windows 10,6.0,No optical drive,Non Touch,1 year warranty
169,Refurbished HP Stream 14-ax053sa Intel Celeron N3060 4GB 32GB 14 Inch Windows 10 Laptop in Purple - A1/Z3C76EA,169.97,32.0,4.0,14.0,1366 x 768,Intel Celeron,N3060,Intel,Windows 10,10.0,No optical drive,Non Touch,3 Month RTB Warranty
170,Refurbished Acer R13 MediaTek M8173C 4GB 64GB 13.3 Inch Touchscreen Convertible Chrome OS Chromebook - A1/NX.GL4EK.003,299.97,64.0,4.0,13.3,1920 x 1080,Mediatek,M8173C,Mediatek,Chrome OS,12.0,No optical drive,Touchscreen,3 Month RTB Warranty
171,Dell XPS 15 9560 Core i7-7700HQ 16GB 512GB SSD GeForce GTX 1050 15.6 Inch Windows 10 Professional Touchscreen Gaming Laptop  - T0FF3,1799.97,512.0,16.0,15.6,3840 x 2160,Intel Core i7,7700HQ,Intel,Windows 10 Pro,4.0,No optical drive,Touchscreen,
