,Name,Price,Storage,RAM Memory,Screen size,Screen Resolution,Processor Model,Processor Number,Processor manufacturer,Operating System,Battery Run Time,Optical Drive,Touchscreen,Warranty
247,Fujitsu Lifebook Core i5-7200U 4GB 256GB SSD 15.6 Inch Windows 10 Pro Laptop - VFY:E4580M35SOGB,459.97,256.0,4.0,15.6,1366 x 768,Intel Core i5,7200u,Intel,Windows 10 Pro,,No optical drive,Non Touch,1 year warranty
248,MSI GS73 Stealth 8RF Core i7-8750H 16GB 1TB + 512GB SSD GeForce GTX 1070 17.3 Inch Windows 10 Gaming Laptop  - 9S7-17B712-031,2199.97,512.0,8.0,17.3,1920 x 1080,Intel Core i7,8750H,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
249,MSI GS63 Stealth 8RE Core i7-8750H 16GB 1TB + 256GB SSD GeForce GTX 1060 15.6 Inch Windows 10 Gaming Laptop  - 9S7-16K512-007,1449.97,256.0,8.0,15.6,1920 x 1080,Intel Core i7,8750H,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
250,MSI GT75 Titan 8RF Core i7-8750H 16GB 1TB + 256GB SSD GeForce GTX 1070 17.3 Inch Windows 10 Gaming Laptop  - 9S7-17A311-046,2266.97,256.0,8.0,17.3,1920 x 1080,Intel Core i7,8750H,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
251,Dell Latitude 5590 Core i5-8250U 8GB 256GB SSD 15.6 Inch Windows 10 Pro Laptop - 2HD2K,849.97,256.0,8.0,15.6,1920 x 1080,Intel Core i5,8250U,Intel,Windows 10 Pro,,No optical drive,Non Touch,1 year warranty
252,Refurbished HP Stream 11-y050sa Intel Celeron N3060 2GB 32GB 11.6 Inch Windows 10 Laptop in Blue - A1/X9W60EA,149.97,32.0,2.0,11.6,1366 x 768,Intel Celeron,N3060,Intel,Windows 10,10.0,No optical drive,Non Touch,3 Month RTB Warranty
253,Dell 11 3180 Celeron N3060 4GB 16GB SSD 11.6 Inch Chrome OS Chromebook - 29FT8,184.97,16.0,4.0,11.6,1366 x 768,Intel Celeron,N3060,Intel,Chrome OS,12.0,No optical drive,Non Touch,1 year warranty
254,Refurbished HP Stream 11-y000na Intel Celeron N3060 2GB 32GB 11.6 Inch Windows 10 Laptop in Blue  - A1/X9W53EA,149.97,32.0,2.0,11.6,1366 x 768,Intel Celeron,N3060,Intel,Windows 10,11.0,No optical drive,Non Touch,3 Month RTB Warranty
255,Refurbished Asus X541UA-GO1302T Core i3-6100 4GB 1TB 14 Inch  Windows 10 Laptop - A2/X541UA-GO1302T,279.97,1000.0,4.0,14.0,1366 x 768,Intel Core i3,6100,Intel,Windows 10,,No optical drive,Non Touch,3 Month RTB Warranty
256,Refurbished Apple MacBook Pro Core i5 8GB 256GB 13 Inch Laptop with Touch Bar - A1/MPXX2B/A,1299.97,256.0,8.0,13.0,2560 x 1600,Intel Core i5,,Intel,MacOS,10.0,No optical drive,Touchscreen,3 Month RTB Warranty
257,Refurbished HP 14-am074na Intel Pentium N3710 8GB 2TB 14 Inch Windows 10 Laptop in Black - A1/1BW93EA,299.97,2000.0,8.0,14.0,1366 x 768,Intel Pentium,N3710,Intel,Windows 10,8.0,No optical drive,Non Touch,3 Month RTB Warranty
258,Acer TravelMate B117 Intel Pentium N3710 4GB 128GB SSD 11.6 Inch Laptop   - NX.VCGEK.018,269.96,128.0,4.0,11.6,1366 x 768,Intel Pentium,N3710,Intel,Windows 10,12.0,No optical drive,Non Touch,1 year warranty
259,MSI GT73EVR 7RE Titan Core i7-7820HK 16GB 1TB + 512GB 17.3 Inch GeForce GTX 1070 8GB Windows 10 Home Gaming Laptop - 9S7-17A121-850,2399.97,512.0,16.0,17.3,1920 x 1080,Intel Core i7,7820HK,Intel,Windows 10,3.0,No optical drive,Non Touch,
260,Refurbished HP Stream 14-ax05na Intel Celeron N3060 2GB 32GB 14 Inch Windows 10 Laptop in White - A1/Z3C77EA,159.97,32.0,2.0,14.0,1366 x 768,Intel Celeron,N3060,Intel,Windows 10,10.0,No optical drive,Non Touch,3 Month RTB Warranty
261,Acer  Extensa 15 2540 Core i3-6006U 4GB 500GB 15.6 Inch Windows 10 Laptop - NX.EFHEK.003,384.97,500.0,4.0,15.6,1366 x 768,Intel Core i3,6006U,Intel,Windows 10,6.0,DVD-RW,Non Touch,1 year warranty
262,New Apple MacBook Pro Core i7 2.2GHz + 8GB 256GB 15 Inch Laptop With Touch Bar - Silver - MR962B/A,1999.97,256.0,8.0,15.0,2880 x 1800,Intel Core i7,,Intel,MacOS,,No optical drive,Touchscreen,1 year warranty
263,HP ProBook 450 G5 Core I7 8550U 16 GB RAM 512 GB SSD 15.6 Inch Windows 10 Laptop  - 2UB65EA,1152.97,512.0,16.0,15.6,1920 x 1080,Intel Core i7,8550U,Intel,Windows 10,14.0,None,Non Touch,1 year warranty
264,Lenovo ThinkPad L480 Core i5-8250U 8GB 500GB 14 Inch Windows 10 Pro Laptop - 20LS0015UK,684.97,500.0,8.0,14.0,1920 x 1080,Intel Core i5,8250U,Intel,Windows 10 Pro,12.0,No optical drive,Non Touch,1 year warranty
265,Lenovo IdeaPad 110S Intel Celeron N3060 4GB 64GB SSD 11.6 Inch Windows 10 Laptop - 80WG00CTUK,248.98,64.0,4.0,11.6,1366 x 768,Intel Celeron,N3060,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
266,Refurbished HP Pavilion x360 15-br013na Intel Pentium 4415U 4GB 1TB 15.6 Inch Touchscreen Windows 10 Laptop  - A1/1WS33EA,319.97,1000.0,4.0,15.6,1366 x 768,Intel Pentium,4415U,Intel,Windows 10,11.0,No optical drive,Touchscreen,3 Month RTB Warranty
267,Lenovo X1 Carbon Core i7-8550U 8GB 256GB SSD 14 Inch Windows 10 Pro Laptop - 20KH006FUK,1452.97,256.0,8.0,14.0,1920 x 1080,Intel Core i7,8550U,Intel,Windows 10 Pro,19.0,No optical drive,Non Touch,3 year warranty
268,Fujitsu LifeBook A357 Core i3-6006U 4GB 500GB 15.6 Inch Windows 10 Laptop - VFY:A3570M133HGB,344.98,500.0,4.0,15.6,1366 x 768,Intel Core i3,6006U,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
269,Fujitsu LifeBook A357 Core i3-6006U 4GB 500GB DVD-RW 15.6 Inch Windows 10 Pro Laptop - VFY:A3570M131HGB,377.98,500.0,4.0,15.6,1366 x 768,Intel Core i3,6006U,Intel,Windows 10 Pro,,DVD-RW,Non Touch,1 year warranty
270,Hewlett Packard HP Chromebook 14 G5 Celeron N3350 4GB 32GB 14 Inch Google Chrome OS Laptop - 3GJ76EA,347.98,32.0,4.0,14.0,1920 x 1080,Intel Celeron,N3350,Intel,Chrome OS,,No optical drive,Touchscreen,1 year warranty
271,Dell Vostro 3568 Core i3-7130U 8GB 256GB SSD 15.6 Inch DVD-RW Windows 10 Laptop  - JDP6G,499.97,256.0,8.0,15.6,1366 x 768,Intel Core i3,7130U,Intel,Windows 10,,DVD-RW,Non Touch,1 year warranty
272,Refurbished Dell Inspiron 15 5570 Core i5 8250U 8GB 256GB Radeon 530 15.6 Inch Windows 10 Laptop - A1/YDYK5,429.97,256.0,8.0,15.6,1920 x 1080,Intel Core i5,8250U,Intel,Windows 10,,No optical drive,Non Touch,3 Month RTB Warranty
273,Refurbished Acer Chromebook 11 CB3-132 Intel Celeron N3060 2GB 16GB SSD 11.6 Inch Chrome OS Laptop - A1/NX.G4XEK.001,129.97,16.0,16.0,11.6,1366 x 768,Intel Celeron,N3060,Intel,Chrome OS,,No optical drive,Non Touch,3 Month RTB Warranty
274,Refurbished HP 17-ca0003na AMD A6-9225 4GB 1TB 17.3 inch Windows 10 Laptop - A1/3ZU19EA,269.97,1000.0,4.0,17.3,,AMD A6,9225,AMD,Windows 10,,No optical drive,Non Touch,3 Month RTB Warranty
275,Refurbished Asus Vivobook X541 Core i5-7200u 4GB 1TB 15.6 Inch Windows 10 Laptop - A1/X541UA-GO1303T,359.97,1000.0,4.0,15.6,1920 x 1080,Intel Core i5,7200u,Intel,Windows 10,,No optical drive,Non Touch,3 Month RTB Warranty
276,MSI PE62 7RD-2249UK Core i5-7300HQ 8GB 1TB 128GB SSD GTX 1050 2GB DVDRW Gaming Laptop - 9S7-16J9F1-2249,949.97,1000.0,8.0,15.6,,Intel Core i5,7300HQ,Intel,Windows 10,,,Non Touch,
277,Lenovo IdeaPad 320 Intel Core i5-7200U 8GB 128GB SSD 14 Inch Full HD WIndows 10 Laptop - 80XK00L4UK,469.97,128.0,8.0,14.0,1920 x 1080,Intel Core i5,7200u,Intel,Windows 10,5.0,No optical drive,Non Touch,1 year warranty
278,Refurbished HP EliteBook 840 G1 Ultrabook Core i5-4300U 8GB 500GB SSD 14 Inch Windows 10 Professional Laptop 1 Year Warranty - T1/840G1-500GB,419.97,500.0,8.0,14.0,,Intel Core i5,4300U,Intel,Windows 10 Pro,,None,Non Touch,1 year RTB warranty
279,Refurbished HP Pavilion 14-ce0504sa Core i3-8130U 8GB 128GB 14 Inch Chromebook  - A2/4CL86EA,209.97,128.0,4.0,14.0,1366 x 768,Intel Core i3,8130U,Intel,Chrome OS,11.0,No optical drive,Non Touch,3 Month RTB Warranty
280,Refurbished HP 250 G6 Core i7-7500U 8GB 256GB SSD DVD-RW 15.6 Inch Full HD Windows 10 Professional Laptop - A1/1WY37EA,569.98,256.0,8.0,15.6,1920 x 1080,Intel Core i5,7500U,Intel,Windows 10,,DVD-RW,Non Touch,3 Month RTB Warranty
281,Refurbished HP Pavilion X360 14-cd0522sa Core i3 8130U 8GB 128GB 14 Inch Touchscreen Windows 10 Laptop - A1/4RD72EA,409.97,128.0,8.0,14.0,,Intel Core i3,8130U,Intel,Windows 10,,No optical drive,Touchscreen,3 Month RTB Warranty
282,Refurbished HP Stream 11-y005na Intel Celeron N3060 2 GB 32 GB 11.6 Inch Windows 10 Laptop - A2/3RN89EA,129.97,32.0,2.0,11.6,1366 x 768,Intel Celeron,N3060,Intel,Windows 10,11.0,No optical drive,Non Touch,3 Month RTB Warranty
283,Refurbished Lenovo Idea Pad Intel Celeron N3350 4GB 32GB 11.6 Inch Windows 10  Laptop - A2/81A4005PUK,139.97,32.0,4.0,11.6,1366 x 768,Intel Celeron,N3350,Intel,Windows 10,8.0,No optical drive,Non Touch,3 Month RTB Warranty
284,Refurbished HP Notebook 15-bs558na Core i3-7100U 4GB 1TB 15.6 Inch Windows 10 Laptop - A2/2PW27EA,269.97,1000.0,4.0,15.6,1920 x 1080,Intel Core i3,7100U,Intel,Windows 10,11.0,No optical drive,Non Touch,3 Month RTB Warranty
285,Medion Erazer P7651 Core i7-8550U 8GB 1TB + 128GB SSD GeForce GTX 1050 17.3 Inch Windows 10 Gaming Laptop - 30024212,819.97,1000.0,8.0,17.3,,Intel Core i7,8550U,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
286,Asus X540MA Intel Pentium N5000 4GB 1TB 15.6 Inch Windows 10 Laptop - X540MA-DM152T,304.97,1000.0,4.0,15.6,1920 x 1080,Intel Pentium,N5000,Intel,Windows 10,,None,Non Touch,1 year warranty
287,Dell Latitude 7390 Core i7 8650U 8GB 256GB SSD 13.3 Inch Windows 10 Professional Laptop - YKJY8,1068.97,256.0,8.0,13.3,1920 x 1080,Intel Core i7,8650U,Intel,Windows 10 Pro,,None,Non Touch,3 year warranty
288,Refurbished Acer Spin Sp513-51-311K Core i3-6006U 4GB 128GB 13.3Inch Windows 10 Laptop  - A1/NX.GK4EK.011,319.97,128.0,4.0,13.3,1920 x 1080,Intel Core i3,6006U,Intel,Windows 10,11.0,No optical drive,Non Touch,3 Month RTB Warranty
289,Refurbished HP Pavilion 15-cs0021na Core i3-8130U 8GB 128GB 15.6 Inch Windows 10 Laptop - A1/4CP61EA,319.97,128.0,8.0,15.6,,Intel Core i3,8130U,Intel,Windows 10,,No optical drive,Non Touch,3 Month RTB Warranty
290,Asus VivoBook E406SA-BV133 Intel Celeron N3060 4GB 32GB 14 Inch Windows 10 Laptop  - E406SA-BV133TS,199.97,32.0,4.0,14.0,1366 x 768,Intel Celeron,N3060,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
291,Refurbished Apple MacBook Pro Core i7 16GB 256GB 15 Inch Laptop With Touch Bar - Silver - A1/MPTU2B/A,1899.97,256.0,16.0,15.0,2880 x 1800,Intel Core i7,,NVIDIA,MacOS,10.0,No optical drive,Touchscreen,3 Month RTB Warranty
292,Refurbished Acer CB515-1HT Intel Pentium N4200 4GB 64GB 15.6 Inch Chromebook  - A1/NX.GPTEK.003,279.97,64.0,4.0,15.6,1920 x 1080,Intel Pentium,N4200,Intel,Chrome OS,12.0,No optical drive,Non Touch,3 Month RTB Warranty
293,Refurbished Dell XPS 13 9370 Core i7-8550U 16GB 512GB 13.3 Inch Windows 10 Pro Laptop - A1/VWT1R,1329.97,512.0,16.0,13.3,3840 x 2160,Intel Core i7,8550U,Intel,Windows 10 Pro,19.0,No optical drive,Non Touch,3 Month RTB Warranty
294,Refurbished Dell Inspiron 3552 Pentium N3710 8GB 1TB DVD-RW 15.6 Inch Windows 10 Laptop  - A1/T5MCG,259.97,1000.0,8.0,15.6,1366 x 768,Intel Pentium,N3710,Intel,Windows 10,,DVD-RW,Non Touch,3 Month RTB Warranty
295,Lenovo V330-14IKB Core i5-8250U 8GB 256GB 14 Inch Windows 10 Pro Laptop - 81B0004MUK,609.97,256.0,8.0,14.0,1920 x 1080,Intel Core i5,8250U,Intel,Windows 10 Pro,6.0,None,Non Touch,1 year warranty
296,Refurbished HP x360 11-U003NA Intel Pentium N3710 4GB 1TB HDD 11.6 Inch Windows 10 Convertible Laptop - A1/E8N44EA,279.97,1000.0,4.0,11.6,1366 x 768,Intel Pentium,N3710,Intel,Windows 10,10.0,No optical drive,Non Touch,3 Month RTB Warranty
297,"Refurbished MEDION Akoyo P6677 Core i5-7200U 4GB 1TB DVD-RW GeForce 940MX Graphics 15.6 Inch Windows 10 Laptop
 - A1/30023184",349.97,1000.0,4.0,15.6,1366 x 768,Intel Core i5,7200u,Intel,Windows 10,4.0,DVD-RW,Non Touch,
298,Refurbished Asus Vivobook Intel Atom X5-Z8350 2GB 32GB 11.6 Inch Windows 10 Laptop - White - A1/90NL0071-M02110,134.97,32.0,2.0,11.6,,Intel Atom,X5-Z8350,Intel,Windows 10,,No optical drive,Non Touch,3 Month RTB Warranty
299,Refurbished ASUS C202SA Intel Celeron N3060 2GB 16GB 11.6 Inch Chrome OS Chromebook  - A1/90NX00Y2-M00340,119.97,16.0,2.0,11.6,,Intel Celeron,N3060,Intel,Chrome OS,,No optical drive,Non Touch,3 Month RTB Warranty
300,Refurbished ASUS VivoBook E203 Intel Celeron N3350 2GB 32GB 11.6 Inch Windows 10 Laptop  - A1/E203NA-FD026TS,144.97,32.0,2.0,11.6,1366 x 768,Intel Celeron,N3350,Intel,Windows 10,4.0,No optical drive,Non Touch,3 Month RTB Warranty
301,Asus ROG SCAR II Core i7-8750H 16GB 512GB SSD GeForce GTX1070 8GB 15.6 Inch Windows 10 Gaming Laptop - GL504GS-ES082T,1789.97,512.0,16.0,15.6,1920 x 1080,Intel Core i7,8750H,Intel,Windows 10,,No optical drive,Non Touch,2 year warranty
302,Gigabyte AERO 15X Core i7-8750H 16GB 512GB SSD GeForce GTX 1070 8GB 15.6 Inch 144Hz Windows 10 Gaming Laptop - AERO15XV8-CF2,2099.97,512.0,16.0,15.6,1920 x 1080,Intel Core i7,8750H,Intel,Windows 10,6.0,No optical drive,Non Touch,
303,Refurbished Dell E5440 Core i5 4300U 4GB 320GB 14 Inch Windows 10 Laptop - T1/E5440W10H,249.97,320.0,4.0,14.0,,Intel Core i5,4300U,Intel,Windows 10,,DVR-RW,Non Touch,1 year RTB warranty
304,MSI GT83 Titan 8RG Core i7-8850H 32GB 1TB + 1TB SSD GeForce GTX 1080 18.4 Inch Windows 10 Gaming Laptop  - 9S7-181612-029,4299.97,1000.0,16.0,18.4,1920 x 1080,Intel Core i7,8850H,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
305,Refurbished HP 15-bs161sa Core i5-8250U 4GB 1TB 15.6 Inch Windows 10 Laptop - A2/2PR38EA,359.97,1000.0,4.0,15.6,1920 x 1080,Intel Core i5,8250U,Intel,Windows 10,11.0,No optical drive,Non Touch,3 Month RTB Warranty
306,Dell Latitude 7290 Core i5-7300U 8GB 256GB SSD 12.5 INCH HD Intel HD 620 SmtCd Cam & Mic WLAN + BT Backlit Kb 4 Cell W10Pr 3Y NBD - 4W72G,932.98,256.0,8.0,12.5,1366 x 768,Intel Core i5,7300u,Intel,Windows 10 Pro,,No optical drive,Non Touch,3 year warranty
307,HP EliteBook 840 Core i5-8250U 8GB 256GB SSD 14 Inch Windows 10 Professional Laptop  - 3JY05ET,779.96,256.0,8.0,14.0,1920 x 1080,Intel Core i5,8250U,Intel,Windows 10 Pro,,None,Non Touch,3 year warranty
308,MSI GV62 8RE Core i7-8750H 16GB 1TB + 128GB SSD 15.6 Inch Nvidia GeForce GTX 1060 3GB Windows 10 Gam - 9S7-16JE32-006,1149.97,1000.0,16.0,15.6,1920 x 1080,Intel Core i7,8750H,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
309,Lenovo ThinkPad T580 Core i5-8250U 8GB 256GB SSD 15.6 Inch Windows 10 Pro Laptop - 20L9001YUK,1049.98,256.0,8.0,15.6,1920 x 1080,Intel Core i5,8250U,Intel,Windows 10 Pro,13.0,No optical drive,Non Touch,3 year warranty
310,Lenovo X280 12.5 Core i7-8550U 16GB 512GB SSD 12.5 Inch Windows 10 Pro Laptop - 20KF001GUK,1429.97,512.0,16.0,12.5,1920 x 1080,Intel Core i7,8550U,Intel,Windows 10 Pro,16.0,No optical drive,Non Touch,3 year warranty
311,HP ProBook 430 G5 Core i7-8550U 16GB 512GB SSD 13.3 Inch Windows 10 Pro Laptop - 2UB48EA,1122.97,512.0,16.0,13.3,1920 x 1080,Intel Core i7,8550U,Intel,Windows 10 Pro,,No optical drive,Non Touch,1 year warranty
312,Asus Vivobook Flip 12 Intel Celeron N3350 2GB 32GB SSD 11.6 Inch Windows 10 Touchscreen Laptop - TP202NA-EH007T,233.98,32.0,2.0,11.6,1366 x 768,Intel Celeron,N3350,Intel,Windows 10,,No optical drive,Touchscreen,1 year warranty
313,MSI GV72 8RE Core i7-8750H 16GB 1TB + 128GB SSD 17.3 Inch Nvidia GeForce GTX 1060 3GB Windows 10 Gaming Laptop - 9S7-179E33-010,1299.97,1000.0,16.0,17.3,1920 x 1080,Intel Core i7,8750H,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
314,Lenovo Yoga 910 Core i7-7500U 8GB 512GB SSD 13.9 Inch Windows 10 Laptop - 80VF00N9UK,1132.97,512.0,8.0,13.9,1920 x 1080,Intel Core i7,7500U,Intel,Windows 10,,No optical drive,Touchscreen,1 year warranty
315,Lenovo Yoga 910 Core i7-7500U 8GB 512GB SSD 13.9 Inch Windows 10 Laptop in Champagne Gold - 80VF00N4UK,1132.97,512.0,8.0,13.9,1920 x 1080,Intel Core i7,7500U,Intel,Windows 10,,No optical drive,Touchscreen,1 year warranty
316,Lenovo ThinkPad L580 Core i5-8250U 8GB 256GB SSD 15.6 Inch Windows 10 Pro Laptop - 20LW000VUK,819.97,256.0,8.0,15.6,1920 x 1080,Intel Core i5,8250U,Intel,Windows 10 Pro,12.0,No optical drive,Non Touch,1 year warranty
317,Lenovo ThinkPad T480S Core i7-8550U 16GB 512GB SSD 14 Inch Windows 10 Pro Laptop - 20L7001LUK,1529.98,512.0,16.0,14.0,1920 x 1080,Intel Core i7,8550U,Intel,Windows 10 Pro,15.0,None,Non Touch,3 year warranty
318,Refurbished DELL Inspiron 13 5000 i3-7100U 4GB 128GB SSD 13.3 Inch 2 in 1 Convertible Touchscreen Windows 10 Laptop - A1/WH5C0,399.97,128.0,4.0,13.3,1920 x 1080,Intel Core i3,7100U,Intel,Windows 10,10.0,No optical drive,Touchscreen,3 Month RTB Warranty
319,Refurbished DELL XPS 13 Core i7-7500U 16GB 512GB 13.3 Inch Touchscreen Windows 10 Laptop Silver - A1/XV325,1299.97,512.0,16.0,13.3,3200 x 1800,Intel Core i5,7500U,Intel,Windows 10,,No optical drive,Touchscreen,3 Month RTB Warranty
320,Refurbished HP Pavilion Pro 14-bf154sa Core i7-8550U 8GB 256GB NVIDIA GeForce MX130 14 Inch Windows 10 Laptop   - A1/3DM35EA,659.97,256.0,8.0,14.0,1920 x 1080,Intel Core i7,8550U,Intel,Windows 10,10.0,No optical drive,Non Touch,
321,Refurbished Dell Inspiron 15 7000 Core i5 7200U 8GB 256GB NVIDIA GeForce 940MX 15.6 Inch Windows 10 Laptop - A1/210-AIZV,599.97,256.0,8.0,15.6,1920 x 1080,Intel Core i5,7200u,Intel,Windows 10,,No optical drive,Non Touch,3 Month RTB Warranty
322,Lenovo 300e Intel Celeron N3450 4GB 128GB SSD 11.6 Inch Windows 10 Convertible Touchscreen Laptop - 81FY002GUK,354.97,128.0,4.0,11.6,1366 x 768,Intel Celeron,N3450,Intel,Windows 10,8.0,No optical drive,Touchscreen,1 year warranty
323,Refurbished LENOVO IdeaPad 320-14IAP Intel Pentium N4200 4GB 1TB 14 Inch Windows 10 Laptop Grey - A1/80XQ0056UK,259.97,1000.0,4.0,14.0,1366 x 768,Intel Pentium,N4200,Intel,Windows 10,6.0,No optical drive,Non Touch,3 Month RTB Warranty
324,Acer TravelMate P2 TMP238 Core i5-7200U 4GB 128GB 13.3 Inch Windows 10 Professional Laptop  - NX.VG7EK.002,424.97,128.0,4.0,13.3,1366 x 768,Intel Core i5,7200u,Intel,Windows 10 Pro,7.0,No optical drive,Non Touch,1 year warranty
325,Toshiba Sat Pro Pentium 4405U 4GB 128GB SSD DVD-RW 14 Inch Windows 10 Professional Laptop - PS461E-0S70D3EN,399.97,128.0,4.0,14.0,1366 x 768,Intel Pentium,4405U,Intel,Windows 10 Pro,8.0,DVD-RW,Non Touch,1 year warranty
326,HP EliteBook 840 G3 Core i7-6500U 8GB 512GB SSD 14 Inch Windows 10 Pro Laptop - Y3B72EA,1309.97,512.0,8.0,14.0,1920 x 1080,Intel Core i7,6500U,Intel,Windows 10 Pro,13.0,None,Non Touch,3 year warranty
327,Acer TravelMate 259 Core i5-7200U 4GB 500GB 15.6 Inch Windows 10 Pro Laptop - NX.VEPEK.007,453.97,500.0,4.0,15.6,1366 x 768,Intel Core i5,7200u,Intel,Windows 10 Pro,8.0,DVD-RW,Non Touch,1 year warranty
328,Acer TravelMate P259-M Intel Core i5-7200U 4GB 128GB SSD Windows 10 Pro laptop  - NX.VEPEK.008,458.98,128.0,4.0,15.6,1366 x 768,Intel Core i5,7200u,Intel,Windows 10 Pro,,DVD-RW,Non Touch,1 year warranty
329,Acer Switch SW512-52-58Q4 Core i5-7200U 8GB 256GB SSD 12 Inch Windows 10 Laptop  - NT.LDSEK.001,798.97,256.0,8.0,12.0,2160 x 1440,Intel Core i5,7200u,Intel,Windows 10,10.0,No optical drive,Non Touch,1 year warranty
330,Refurbished HP 14-bp060sa Core i3-6006U 4GB 500GB 14 Inch Windows 10 Laptop in Snow White  - A1/1VH15EA,289.97,500.0,4.0,14.0,1366 x 768,Intel Core i3,6006U,Intel,Windows 10,11.0,No optical drive,Non Touch,3 Month RTB Warranty
331,Refurbished HP Stream x360 11-aa002na Intel Celeron N3060 2GB 32GB 11.6 Inch Windows 10 Touchscreen Convertible Laptop - A1/Z3D80EA,179.97,32.0,2.0,11.6,1366 x 768,Intel Celeron,N3060,Intel,Windows 10,11.0,No optical drive,Touchscreen,3 Month RTB Warranty
332,Refurbished HP 15-bw067sa AMD A9-9420 4GB 1TB 15.6 Inch Windows 10 Laptop in Gold - A1/2CU83EA,264.97,1000.0,4.0,15.6,1920 x 1080,AMD A4,9120,AMD,Windows 10,11.0,No optical drive,Non Touch,3 Month RTB Warranty
333,HP ProBook 450 G4 Core i5-7200U 4GB 500GB DVD-RW 15.6 Inch Windows 10 Laptop - Z3A37EA,314.96,500.0,4.0,15.6,1366 x 768,Intel Core i5,7200u,Intel,Windows 10,12.0,DVD-RW,Non Touch,1 year warranty
334,HP EliteBook Folio 1020 Core M-5Y71 8GB 512GB SSD 12.5 Inch Windows 10 Professional Touchscreen Lapt - P4T88EA,727.97,512.0,8.0,12.5,2560 x 1440,Intel Core M,5Y71,Intel,Windows 10 Pro,9.0,None,Touchscreen,1 year warranty
335,Dell Latitude  7490 Core i7-8650U 8GB 256GB SSD Windows 10 Pro 14 Inch Full HD Laptop - 6JKRH,1239.97,256.0,8.0,14.0,1920 x 1080,Intel Core i7,8650U,Intel,Windows 10 Pro,,No optical drive,Non Touch,3 year warranty
336,MSI GE63 Raider 8RE Core i7-8750H 16GB 1TB + 256GB SSD GeForce GTX 1060 15.6 Inch Windows 10 Gaming Laptop  - 9S7-16P512-064,1299.97,256.0,8.0,15.6,1920 x 1080,Intel Core i7,8750H,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
337,Refurbished HP ENVY x360 AMD Ryzen 5 2500U 8GB 1TB + 128GB AMD Radeon Vega 8 15.6 Inch 2 in 1 Touchscreen Laptop  - A1/2PH22EA,709.97,1000.0,8.0,15.6,1920 x 1080,Ryzen 5,2500U,AMD,Windows 10,10.0,No optical drive,Touchscreen,
338,HP ProBook 470 G5  Core i5-8250U 1.6GHz 8GB 1TB Full HD 17.3 Inch Windows 10 Professionl Laptop - 2RR89EA,868.97,1000.0,8.0,17.3,1920 x 1080,Intel Core i5,8250U,Intel,Windows 10 Pro,13.0,No optical drive,Non Touch,1 year warranty
339,Refurbished Acer A315-31 Intel Celeron N3350 4GB 1TB 15.6 Inch  Windows 10 Laptop in Red - A1/NX.GR5EK.001,214.97,1000.0,4.0,15.6,1366 x 768,Intel Celeron,N3350,Intel,Windows 10,10.0,No optical drive,Non Touch,3 Month RTB Warranty
340,Refurbished HP Omen 15-ce054na Core i7-7700HQ 8GB 1TB + 128GB 15.6 Inch GeForce GTX 1050 Graphics Windows 10 Gaming Laptop - A1/1UP88EA,799.97,1000.0,8.0,15.6,1920 x 1080,Intel Core i7,7700HQ,Intel,Windows 10,11.0,No optical drive,Non Touch,
341,Refurbished HP Pavilion x360 14-ba094sa Intel Pentium 4415U 4GB 128GB 14 Inch Windows 10 Touchscreen Convertible Laptop in Gold - A2/1VJ30EA,279.97,128.0,4.0,14.0,1366 x 768,Intel Pentium,4415U,Intel,Windows 10,10.0,No optical drive,Touchscreen,3 Month RTB Warranty
342,Refurbished HP 15-bw069sa AMD A9-9420 4GB 1TB Radeon R5 Graphics 15.6 Inch Windows 10 Laptop in Smoke Gray - a1/2FP08EA,289.97,1000.0,4.0,15.6,1920 x 1080,AMD A4,9120,AMD,Windows 10,11.0,No optical drive,Non Touch,
343,Refurbished HP Omen 15-ce001na Core i5 7300HQ 8GB 1TB + 128GB 15.6 Inch NVIDIA GeForce GTX 1050 Graphics Windows 10  Gaming Laptop  - A1/1RJ98EA,689.97,1000.0,8.0,15.6,1920 x 1080,Intel Core i5,7300HQ,Intel,Windows 10,11.0,No optical drive,Non Touch,
344,Refurbished HP 14-bp061sa Core i3-6006U 4GB 500GB 14 Inch Windows 10 Laptop - A2/1VH17EA,229.97,500.0,4.0,14.0,1366 x 768,Intel Core i3,6006U,Intel,Windows 10,11.0,No optical drive,Non Touch,3 Month RTB Warranty
345,Acer TravelMatte P259 Core i3-6006U 4GB 128GB SSD 15.6 Inch Windows 10 Professional Laptop - NX.VDCEK.043,414.97,128.0,4.0,15.6,1366 x 768,Intel Core i3,6006U,Intel,Windows 10 Pro,10.0,DVD-RW,Non Touch,1 year warranty
